,_id,Vacancy,Salary,Salary_min,Salary_max,Employer,Location,Description,Url,Site
0,610e86b19d95036962e21f19,Аналитик,200 000 – 300 000 KZT,200000,300000,ТОО Colliers Kazakhstan,ТОО Colliers Kazakhstan,Аналитик,https://spb.hh.ru/vacancy/46282795?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
1,610e86b19d95036962e21f1b,Аналитик данных,от 80 000 руб.,80000,NaN,Тесуджи,"Алматы, Абая",Системный аналитик,https://spb.hh.ru/vacancy/46264635?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
2,610e86b19d95036962e21f1d,Аналитик,от 130 000 руб.,130000,NaN,АО ВМЗ,"Санкт-Петербург, Выборгская",Аналитик данных,https://spb.hh.ru/vacancy/46806041?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
3,610e86b19d95036962e21f23,Аналитик данных / Data Analyst,от 70 000 руб.,70000,NaN,Интерактивные обучающие технологии,Москва,Аналитик баз данных,https://spb.hh.ru/vacancy/46560854?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
4,610e86b19d95036962e21f25,"Аналитик данных, Собственные продажи",от 200 000 руб.,200000,NaN,Ozon Информационные технологии,АО ВМЗ,Аналитик BI,https://spb.hh.ru/vacancy/45054245?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
5,610e86b19d95036962e21f28,Стажер-аналитик,90 000 – 110 000 руб.,90000,110000,GSK,Бионика,Реализованных на базе Power BI решений (форм отчетности и визуализации данных). - разработка пользовательских инструкций. Проведение обучения и консультация пользователей по...Опыт а аналогичной сфере - от года. Личностные характеристики: Дисциплинированность. Коммуникабельность. Нацеленность на результат. Аналитическое мышление. Профессиональные компетенции: - опыт разработки отчетности...,https://spb.hh.ru/vacancy/46797728?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
6,610e86b29d95036962e21f31,Senior System analyst/Системный аналитик (удаленная работа),от 200 000 руб.,200000,NaN,ООО Крит,Новосибирск,Аналитик данных,https://spb.hh.ru/vacancy/45596951?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
7,610e86b29d95036962e21f33,Аналитик /Системный аналитик,80 000 – 250 000 руб.,80000,250000,ООО Вертикаль,Level.Travel,Ведущий аналитик данных (Рекламные технологии),https://spb.hh.ru/vacancy/45657292?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
8,610e86b29d95036962e21f39,Аналитик по работе с данными,от 85 000 руб.,85000,NaN,ГКУ Инфогород,ООО Крит,Аналитик /Системный аналитик,https://spb.hh.ru/vacancy/46864186?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
9,610e86b29d95036962e21f3b,Аналитик данных/Data Analyst,250 000 – 250 000 руб.,250000,250000,"ЮТэйр, Авиакомпания",Москва,Аналитик,https://spb.hh.ru/vacancy/46833376?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
10,610e86b29d95036962e21f40,Аналитик (статистический анализ данных),от 180 000 руб.,180000,NaN,ЗАО КонсультантПлюс,Москва,"Сбор, обработка и структурирование данных. Анализ, моделирование и оптимизация бизнес-процессов. Написание технических заданий на доработку/разработку функционала, тестирование, поддержка...Системный подход к решению задач. Высокий уровень аналитического мышления и работы с данными. Высшее математическое или техническое образование. ",https://spb.hh.ru/vacancy/46407430?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
11,610e86b49d95036962e21f43,Аналитик данных Excel таблиц,72 849 руб.,72849,72849,ГКУ г. Москвы Администратор Московского Парковочного Пространства,Москва,"Выполнение анализа данных, полученных из разных источников. Анализ большого массива данных. Сбор статистических данных. Ведение…ОБЯЗАТЕЛЬНО качественное знание Excel (формулы, сводные таблицы, выборка данных, построение диаграмм любых типов, сверка…",https://www.superjob.ru/vacancy/search//vakansii/analitik-dannyh-excel-tablic-38354270.html,superjob.ru
12,610e86b49d95036962e21f44,Аналитик баз данных,80 000 — 100 000 руб.,80000,100000,Консалтинговая группа ЕРМАК,"Москва, Площадь Ильича, Римская","Сбор и анализ данных о существующих и потенциальных Клиентах, как из собственной CRM, так и из внешних источников. Анализ…Высшее образование. Опыт работы от 3 лет. Опыт в сборе, систематизации данных. Профессиональное владение программой Excel…",https://www.superjob.ru/vacancy/search//vakansii/analitik-baz-dannyh-38016321.html,superjob.ru
13,610e86b49d95036962e21f47,Аналитик по работе с данными,от 100 000 руб.,100000,NaN,Кадровый Центр на Сокольнической Площади,Москва,Формирование регулярной отчетности по данным из БД. Подготовка нестандартной отчетности и аналитических исследований по запросу…Отличное знание языка SQL-запросов. Отличное владение MS Excel. Основы программирования (опыт не обязателен). Основы использования…,https://www.superjob.ru/vacancy/search//vakansii/analitik-po-rabote-s-dannymi-38158904.html,superjob.ru
14,610e86b49d95036962e21f51,Data analyst,от 200 000 руб.,200000,NaN,Кадровый Центр на Сокольнической Площади,"Москва, Кутузовская","Работа с данными (текст, реплики диалогов), web scraping, разметка. Формирование обучающей и тестовой выборки, очищение данных…Опыт работы с различными источниками данных, в том числе с базами данных с использованием SQL, CSV, Excel. Python, pandas, numpy",https://www.superjob.ru/vacancy/search//vakansii/data-analyst-38410031.html,superjob.ru
